Object,RA2000,DE2000,RA,Dec,redshift,MType,sma_host,smb_host,sma_ring,smb_ring,PA,Av,Ag,Ar,Az,rmag_host,rmag_ring,rmag_total,gmag_host,gmag_ring,gmag_total,zmag_host,zmag_ring,zmag_total,rmag_host_error,rmag_ring_error,rmag_total_error,gmag_host_error,gmag_ring_error,gmag_total_error,zmag_host_error,zmag_ring_error,zmag_total_error,g_r_host,g_r_ring,g_r_total,g_r_host_err,g_r_ring_err,g_r_total_err,r_z_host,r_z_ring,r_z_total,r_z_host_err,r_z_ring_err,r_z_total_err
HRG 54101,01 05 10.23,-22 03 25.94,16.292625,-22.05720556,0.056222,E,18.58,13.49,38.04,35.63,44,0.057,0.0693843431626301,0.0474312659524379,0.0260636875701101,15.7533153655513,16.4323912412861,15.2880305897765,16.6159286513667,17.061814148803,16.0635661810866,15.1452788872483,15.9814385430697,14.7322035578654,0.0048651163743577,0.0129024749329704,0.0031903534116946,0.0046463198106688,0.0099635615399839,0.0028249430858259,0.0055114791798853,0.0168736237103741,0.0037840464554943,0.862613285815423,0.629422907516847,0.77553559131003,0.0067273802567609,0.0163017305203152,0.0042612977283531,0.608036478302934,0.450952698216442,0.555827031911161,0.0073515821485142,0.0212413049626248,0.0049494810302546
HRG 11701,03 57 51.74,-59 31 35.42,59.46558333,-59.52650556,0.059011,E,17.69,13.49,38.85,33.63,149,0.063,0.0766879582323806,0.0524240307895366,0.0288072336301217,15.5054046516031,15.8207031535495,14.8990735447698,16.3576288416731,16.3823207212235,15.6173296007705,14.907416502147,15.4430184545295,14.3899449724839,0.0036269899396944,0.0069363785749428,0.0021223038776851,0.0031828718409684,0.0047234712110471,0.001691472664913,0.004003541116874,0.0093336966495944,0.0025184068209614,0.852224190069968,0.561617567674057,0.718256056000714,0.0048255289014443,0.008391932317203,0.0027139000581055,0.597988149456104,0.377684699020014,0.509128572285894,0.0054021660005174,0.0116288968041502,0.0032934095805263
HRG 15501,02 59 06.28,-57 08 17.20,44.77616667,-57.13811111,0.044481,E,28.71,13.56,39.2,32.54,94,0.045,0.054777113023129,0.0374457362782404,0.0205765954500869,14.8996122158477,16.056634248259,14.5782089434175,15.740581802947,16.8875466118884,15.4165926782911,14.316774657971,15.5073854312344,14.0038793104037,0.0041104782448522,0.0169114622248837,0.0030708370071367,0.0039669237190292,0.0161704724904039,0.0029565810039043,0.0043907947550837,0.0186294280678745,0.0033050304362711,0.840969587099284,0.830912363629413,0.838383734873553,0.0057124876537285,0.0233983276143099,0.0042627938206121,0.582837557876692,0.549248817024591,0.574329633013832,0.0060145747964984,0.0251605473851381,0.0045114594211939
HRG 11801,04 09 02.55,-59 06 30.66,62.260625,-59.10851667,0.027599,E,21.99,15.38,45.33,40.1,128,0.044,0.0535598438448373,0.0366136088053906,0.0201193377734183,14.3078758786255,15.0313506294014,13.8578607336763,15.1275721436516,15.7839007168115,14.6543047462415,13.751007181835,14.5239699859564,13.3175325239302,0.0041814827648154,0.011539919776948,0.0027749497414613,0.0040294790351457,0.0104591005298541,0.0026201935715882,0.0041710007957259,0.0120463815406758,0.0028098232654333,0.819696265026071,0.752550087410086,0.796444012565225,0.0058070215607596,0.0155744191657984,0.0038165115511719,0.556868696790449,0.507380643445037,0.540328209746136,0.0059061024161789,0.0166818780921673,0.0039491078550233
HRG 48401,04 16 29.45,-25 03 28.27,64.12270833,-25.05785278,0.041919,E,16.91,15.47,37.45,28.85,40,0.113,0.137551417146969,0.094030404432026,0.0516701174635517,14.8480779184174,15.3185847478545,14.3054663800361,15.6367485335582,16.0083272643769,15.0541439028149,14.283931293047,14.8601477640921,13.7816790620316,0.0037283998164319,0.0084363626029233,0.0024278436625833,0.0031911176821205,0.0065937208007745,0.00200391606959,0.0039904444192335,0.0097871234102347,0.0026124905191491,0.788670615140763,0.689742516522383,0.748677522778754,0.0049075653080027,0.0107074445114868,0.0031480318397226,0.56414662537035,0.458436983762473,0.523787318004525,0.0054611914317447,0.0129213001905833,0.0035664452277569
HRG 08202,02 55 33.57,-62 31 42.25,43.889875,-62.52840278,0.064875,E,18.53,16.91,43.59,28.85,40,0.074,0.09007791919359,0.0615774329908843,0.0338370680734763,15.0399525560497,15.4649431497263,14.4792099747807,15.886862006951,16.1699384747871,15.2666256935553,14.4637927942301,15.037448823469,13.9605915990533,0.0036397606600054,0.0082851403779215,0.0025403175311515,0.0032708539041383,0.0065783124215486,0.0021869125327794,0.0039351134502873,0.0099975764112004,0.0027607137014506,0.846909450901284,0.704995325060754,0.787415718774541,0.0048935000689015,0.0105791183657887,0.0033519844249495,0.576159761819653,0.427494326257351,0.518618375727405,0.0053603148721652,0.0129844170134687,0.0037516334176534
HRG 54102,01 12 33.62,-19 00 52.50,18.14008333,-19.01458333,,E,21.82,16.98,40.94,37.29,96,0.046,0.0559943822014208,0.0382778637510902,0.0210338531267555,15.0430851046829,16.3779277088252,14.7645443166621,15.8104117451222,17.0362751016711,15.5062360630529,14.4824864495091,15.9356668911365,14.2296165985222,0.0046162442514424,0.0223431635626191,0.0035783218954234,0.0043225078232956,0.0189323977302276,0.0032755391258372,0.0051101060331721,0.0275746935527224,0.0040538604252237,0.76732664043929,0.65834739284594,0.741691746390766,0.006324063952193,0.0292857071248327,0.0048511384387747,0.560598655173765,0.442260817688702,0.53492771813989,0.0068864282947865,0.0354905717411329,0.0054072332975803
OA 02801,00 51 44.41,-30 37 27.60,12.93504167,-30.62433333,,E,17.06,17.06,43.84,20.3,123,0.045,0.054777113023129,0.0374457362782404,0.0205765954500869,17.2258129855168,19.2104495070083,17.0639681900978,18.0839907191983,20.0585627175575,17.9207465451753,16.6202493227766,18.5525823850698,16.4510091446276,0.0038719801716503,0.0342495570205462,0.0033718981991263,0.0031044150109592,0.0273525329791644,0.0027285478434623,0.0046463630939362,0.0393346816616832,0.0040528952950942,0.85817773368148,0.84811321054918,0.856778355077562,0.0049628240962099,0.0438314181436093,0.0043375881315927,0.605563662740241,0.65786712193843,0.612959045470202,0.0060482163032042,0.0521560096012876,0.0052721587360651
HRG 23702,22 10 01.27,-49 40 31.77,332.5052917,-49.67549167,0.027085,E,22.29,17.11,41.75,36.32,105,0.045,0.054777113023129,0.0374457362782404,0.0205765954500869,14.2373185966272,15.0623258687955,13.8207016829448,15.0844093129432,15.8741999948885,14.6564452029181,13.6497293414507,14.4996383801695,13.2409862109851,0.0035532340393123,0.010795718647553,0.0024444233305692,0.003250396305425,0.0095642299753247,0.0022145820661348,0.003637130006068,0.0112962205377758,0.0025155901294323,0.847090716315949,0.811874126092972,0.835743519973262,0.0048156565783337,0.0144229690472532,0.0032984207049249,0.587589255176544,0.56268748862599,0.579715471959753,0.0050847012517126,0.0156253684614217,0.0035076201502341
HRG 11401,02 01 45.29,-58 22 36.91,30.43870833,-58.37691944,0.022209,E,23.24,18.44,55.3,46,110,0.061,0.0742534198757971,0.050759775843837,0.0278927182767845,14.2750501780926,14.4346859460853,13.5993618064295,15.0550895081629,14.9886667113523,14.2687952509079,13.7113361527244,14.0332011772172,13.1078100392124,0.0029217191224175,0.0048476713907079,0.0016079658055962,0.0026596414194644,0.0036211209832801,0.0013489840193235,0.0031290898188909,0.0060017791134221,0.001824529052132,0.780039330070284,0.553980765266999,0.669433444478365,0.0039509663514678,0.0060508210259303,0.0020988834928021,0.563714025368205,0.401484768868095,0.491551767217109,0.0042810799718046,0.0077150029448211,0.0024319663431143
