,Unnamed: 0,Name_1,Name,a_host,b_host,PA_host,a_ring,b_ring,PA_ring,z,angle1,angle2,Dring/dhost,_RAJ2000,_DEJ2000,Name_2,Av,host_rcounts,ring_rcounts,inter_rcounts,host_gcounts,ring_gcounts,inter_gcounts,host_zcounts,ring_zcounts,inter_zcounts,host_rcounts_err,ring_rcounts_err,inter_rcounts_err,host_gcounts_err,ring_gcounts_err,inter_gcounts_err,host_zcounts_err,ring_zcounts_err,inter_zcounts_err,ebv,Ag,Ar,Az,rmag_host,rmag_ring,rmag_total,gmag_host,gmag_ring,gmag_total,zmag_host,zmag_ring,zmag_total,rmag_host_error,rmag_ring_error,rmag_total_error,gmag_host_error,gmag_ring_error,gmag_total_error,zmag_host_error,zmag_ring_error,zmag_total_error,g_r_host1,g_r_ring1,g_r_total1,r_z_host1,r_z_ring1,r_z_total1,g_r_host,g_r_ring,g_r_total,g_r_host_err,g_r_ring_err,g_r_total_err,r_z_host,r_z_ring,r_z_total,r_z_host_err,r_z_ring_err,r_z_total_err,recno,Type,Seq,RAJ2000,DEJ2000,rmag,cz,RA,Dec,pa_host,pa_ring,redshift,redshift_er,boxa,boxb,boxangle,id
0,0,SPRC3,3.0,5.7,2.8,325.0,12.1,2.9,66.0,0.037,86.0,74.0,2.11,10.2643333,-9.9411389,SPRC3,0.09,213.48850074255603,291.62668066327524,187.6044587710203,100.58614845246638,144.00948372742272,87.1940903157938,374.7198976229221,497.5659751412605,331.6406921632515,1.1266403033554806,1.145726512832962,1.1148287501162286,0.5012576280111809,0.5149714826105144,0.4935424386750894,1.9595674031103296,1.9870028759257612,1.9417641212563088,[0.10955423 0.07489147 0.04115319],0.1095542260462581,0.0748914725564809,0.0411531909001739,16.601672309117617,17.38229321250732,16.170712536424737,17.38410032674749,18.004280728338117,16.89792331825781,16.024579922252677,16.909065391639423,15.626565969169851,0.0057297426458009,0.0166854870558664,0.0066876443711259,0.0054106212735653,0.0136308587561814,0.0060135824509156,0.0056777696853496,0.0181794951095988,0.0068275256080648,0.7824280176298721,0.6219875158307957,0.7272107818330724,0.5770923868649405,0.4732278208678977,0.5441465672548862,0.7824280176298721,0.6219875158307957,0.7272107818330724,0.0078806581801946,0.0215454354498222,0.0089937623455711,0.5770923868649405,0.4732278208678977,0.5441465672548862,0.0080664130434156,0.0246758894618089,0.0095571801889173,,,,,,,,,,,,,,,,,
1,1,SPRC4,4.0,6.0,3.0,122.0,7.0,1.0,27.0,0.04,1.0,1.0,1.0,40.7433,-0.9526,SPRC4,0.089,124.4185937842165,127.98864033227132,118.03816077392024,61.3007214428554,65.46640000856642,58.55665006940399,206.7048281097589,204.74242280619788,195.85832393655903,0.6500942885924901,0.6491235319808132,0.6477593770535405,0.2765108372172439,0.2767374422459018,0.2753622487018684,1.1913758538194277,1.1890740961390878,1.1877949747324257,[0.10833696 0.07405935 0.04069593],0.1083369568679663,0.0740593450836311,0.0406959332235053,17.188727433642434,19.931330625281497,17.10519234960684,17.922999078825907,20.293007216305423,17.807035416082428,16.67092751481957,20.08777060904296,16.62523793934922,0.0056730339426235,0.1000613406736986,0.0090829245917637,0.0048974599304611,0.0613431174051898,0.0076148985262097,0.0062578117298717,0.2054003888029786,0.01037509866219,0.7342716451834725,0.3616765910239294,0.7018430664755897,0.5177999188228632,-0.1564399837614587,0.4799544102576192,0.7342716451834725,0.3616765910239294,0.7018430664755897,0.007494559885986,0.1173680107627495,0.0118526874043036,0.5177999188228632,-0.1564399837614587,0.4799544102576192,0.0084465094424075,0.2284766763103682,0.0137892056112687,,,,,,,,,,,,,,,,,
2,2,SPRC7,7.0,4.2,3.2,150.0,17.0,10.0,50.0,0.06,72.0,60.0,4.28,118.143,29.3471389,SPRC7,0.137,126.21443794499277,307.47557637806125,121.12340770052282,55.22343407571538,195.2927355104256,52.4532159086624,233.86087756807547,451.06751659302,225.5683380253845,0.9073484966712418,0.9391206809953444,0.9063833735095348,0.407589545604927,0.4437866471262782,0.4069594501381071,1.9031161819831317,1.9371920074076396,1.9018131050192848,[0.16676588 0.11400146 0.0626443 ],0.1667658774259707,0.1140014637804209,0.0626443017035981,17.133225942111157,16.710162408142,16.1486420915689,17.97792559808352,16.946113170316803,16.59122599427817,16.514961760676062,16.554493287796852,15.781972627733834,0.0078052965192316,0.0076042816429052,0.0055215844480073,0.0080135314608909,0.0045768579088873,0.0039858629709343,0.0088355186302534,0.013070779536823,0.0078360775898848,0.844699655972363,0.2359507621748022,0.4425839027092699,0.6182641814350944,0.1556691203451485,0.3666694638350645,0.844699655972363,0.2359507621748022,0.4425839027092699,0.0111865696363013,0.0088754001387413,0.0068099191213657,0.6182641814350944,0.1556691203451485,0.3666694638350645,0.0117893614423633,0.0151218509781328,0.0095860318594908,,,,,,,,,,,,,,,,,
3,3,SPRC10,10.0,6.0,2.0,320.0,6.0,1.5,40.0,0.042,78.0,82.0,1.21,125.159125,15.6166111,SPRC10,0.104,269.20673372155784,299.08116812428,233.4692656257539,109.8796992055916,126.2784766789446,93.66552074411447,546.905045884321,590.9568717479292,484.3179746817914,1.455353419080635,1.4594884463733204,1.4378180056704333,0.5545793028266761,0.5581346655648951,0.5451515857156776,3.271240587302283,3.274952179510517,3.2471100667855355,[0.12659599 0.08654126 0.0475548 ],0.1265959945423427,0.0865412571763779,0.0475547983735343,16.33824394586855,17.871002165705463,16.101434685064966,17.27111035077261,18.589928596298755,16.98892280800326,15.60766537586674,17.3826560899951,15.4142582167115,0.0058695779112595,0.0339026208234801,0.0081492549245396,0.0054798732781551,0.0259739160544836,0.0072935986049719,0.0064941882815606,0.0469550788347425,0.0093933647687672,0.9328664049040613,0.7189264305932923,0.8874881229382936,0.7305785700018088,0.4883460757103641,0.6871764683534654,0.9328664049040613,0.7189264305932923,0.8874881229382936,0.0080300034869845,0.0427086878036077,0.0109364956195109,0.7305785700018088,0.4883460757103641,0.6871764683534654,0.008753652168821,0.0579151718211865,0.0124356607184439,,,,,,,,,,,,,,,,,
4,4,SPRC14,14.0,8.7,5.2,130.0,17.8,5.9,35.0,0.032,83.0,75.0,2.05,139.5665417,20.3681389,SPRC14,0.086,840.6411344339651,1107.612511889989,821.0471967427693,390.5781015882352,532.6417102818215,380.65594840688937,1450.564407717865,1871.64640106812,1418.6786674321556,3.396896125324163,3.420530014488361,3.394059999489496,1.4378602410714156,1.4532754895096034,1.4361287638208509,6.219600223379165,6.254959922146962,6.215343658884889,[0.10468515 0.07156296 0.03932416],0.104685149333091,0.0715629626650817,0.0393241601934995,15.116910444382505,16.285377977901636,14.798428374764631,15.916045125189482,16.94080758851517,15.559187688295198,14.55683329721238,15.820507672538984,14.261775303998094,0.0043872860320479,0.0182569702195715,0.0056787378259536,0.0039969903964541,0.0145956140905487,0.0049995678749162,0.0046553225115102,0.0211359256699349,0.0061547768064075,0.7991346808069775,0.6554296106135347,0.760759313530567,0.5600771471701247,0.4648703053626501,0.5366530707665369,0.7991346808069775,0.6554296106135347,0.760759313530567,0.0059349988168785,0.023374107732244,0.0075659594389483,0.5600771471701247,0.4648703053626501,0.5366530707665369,0.0063968981868697,0.0279292734514046,0.0083743262912671,,,,,,,,,,,,,,,,,
5,5,SPRC27,27.0,5.9,2.7,125.0,14.3,2.2,30.0,0.048,89.0,81.0,2.4,176.1834167,23.1625,SPRC27,0.081,216.2118286414845,308.71626366578926,208.781461829738,95.84256301469712,149.78632505256513,92.37280021368132,393.4738202948316,540.2351987277035,381.93214497473673,1.182799433144012,1.2069239331823116,1.180026832300015,0.4896365361931814,0.5096247161306742,0.4881665758130401,1.9696369260941768,2.003730192375241,1.965286927883369,[0.0985988  0.06740233 0.03703787],0.0985988034416323,0.0674023253008328,0.0370378718101565,16.595399049948256,17.43330578563275,16.182876281149664,17.447505148880154,18.003865669788013,16.937856858587075,15.975672523299178,16.96423889638344,15.60855339201776,0.0059395833040257,0.0183384910860907,0.0070784038427595,0.0055467643789511,0.0133455115836892,0.0060850823626055,0.0054349387699709,0.0192496737115073,0.0067469050246331,0.8521060989318983,0.5705598841552622,0.7549805774374114,0.6197265266490781,0.4690668892493121,0.5743228891319045,0.8521060989318983,0.5705598841552622,0.7549805774374114,0.0081268225587287,0.0226804527015008,0.009334453830883,0.6197265266490781,0.4690668892493121,0.5743228891319045,0.0080509135667199,0.0265866544212341,0.0097787794929947,,,,,,,,,,,,,,,,,
6,6,SPRC39,39.0,7.1,4.0,115.0,15.8,3.6,50.0,0.029,62.0,76.0,2.22,197.0705,45.3764444,SPRC39,0.068,286.1513281145352,346.00392543559,274.00151827605805,121.4042897435224,153.01177678165968,115.71693727945603,523.6955997490829,588.7153916084517,507.6682004700013,1.1653577995425886,1.172008992077978,1.1623883100628811,0.46382597231716,0.4684824261628039,0.4621564458920019,2.747229807671677,2.7518086447285226,2.745011622664383,[0.0827743  0.05658467 0.03109352],0.0827743041238394,0.0565846681537855,0.0310935220134647,16.301925916994627,17.80004779220462,16.058241619638604,17.206640614550594,18.488103839596118,16.915789336216733,15.671209165882813,17.697061557854006,15.514979728338597,0.0044216854165856,0.0248909095761443,0.0061253998640489,0.004148063070224,0.0191580720178898,0.005508126679018,0.0056956118523985,0.0520694778888144,0.0085454284874026,0.904714697555967,0.6880560473914947,0.8575477165781287,0.6307167511118141,0.1029862343506131,0.5432618913000073,0.904714697555967,0.6880560473914947,0.8575477165781287,0.0060628152831669,0.0314100159657783,0.0082377170992091,0.6307167511118141,0.1029862343506131,0.5432618913000073,0.007210499032413,0.0577129786715391,0.010514032125108,,,,,,,,,,,,,,,,,
7,7,SPRC60,60.0,4.0,2.0,135.0,9.0,1.5,55.0,0.078,1.0,1.0,1.0,236.8513,38.9306,SPRC60,0.03,74.53962898815955,124.93863651423936,77.77269349575909,35.04082769854328,67.02132293757305,36.95342234135114,128.99226811677767,188.9008823422068,132.61485590055085,0.4610392343961263,0.4814978139276293,0.4628245343239761,0.1999775486393601,0.2180227637820657,0.2013769539617308,0.9864011940764076,1.003000082470059,0.9875901320986072,[0.03651808 0.02496382 0.01371773],0.0365180753487527,0.0249638241854936,0.0137177303000579,17.794068108875,18.290964870851145,17.261760021193712,18.60204603445962,18.768224160128742,17.929383892702365,17.209873071759066,18.11028079378466,16.816720908472863,0.0067154478147101,0.0153739675685379,0.0072397904705385,0.006196282421307,0.0107170719269823,0.0059679027402371,0.0083026021982639,0.0271521115789303,0.0100723157777667,0.8079779255846198,0.4772592892775975,0.6676238715086527,0.5841950371159328,0.1806840770664841,0.445039112720849,0.8079779255846198,0.4772592892775975,0.6676238715086527,0.0091373494623273,0.0187407179554725,0.0093824532599012,0.5841950371159328,0.1806840770664841,0.445039112720849,0.0106785037629207,0.0312025005727608,0.0124042779388543,,,,,,,,,,,,,,,,,
8,8,SPRC67,67.0,18.6,4.4,113.0,25.7,3.2,347.0,0.028,55.0,53.0,1.38,259.433875,40.6977778,SPRC67,0.075,1610.0431517379884,1532.4299859610348,1327.2297190439858,714.7659455719454,680.3010312914095,582.075207942311,2886.440960684083,2680.532446705774,2431.672685307265,5.506179980508458,5.483950448697581,5.466523014154039,2.3737594772089485,2.3623745262088907,2.35334409832334,11.503296336783205,11.471976451880044,11.452781836127745,[0.09129519 0.06240956 0.03429433],0.0912951883718817,0.0624095604637341,0.0342943257501449,14.420496649595536,16.657145636149707,14.290253262400288,15.273295179808873,17.428140617015696,15.13348944004844,13.814798977104198,16.475818973259972,13.72500766804951,0.0037131047998925,0.0409698947093602,0.0056829292069137,0.0036057630078209,0.0368580474236482,0.0054663133358687,0.0043269706455201,0.0707228183502537,0.0068833156913994,0.8527985302133363,0.7709949808659893,0.8432361776481532,0.6056976724913365,0.1813266628897345,0.5652455943507775,0.8527985302133363,0.7709949808659893,0.8432361776481532,0.0051757776346704,0.0551094178192799,0.0078851928230506,0.6056976724913365,0.1813266628897345,0.5652455943507775,0.0057017385262898,0.0817327921210272,0.008926125658888,,,,,,,,,,,,,,,,,
9,9,SPRC69,69.0,5.9,3.6,135.0,16.0,2.8,32.0,0.025,85.0,73.0,2.47,312.023625,0.0688333,SPRC69,0.267,669.4014739728188,869.3701500495397,643.2134917018011,306.4463974148189,411.2485589827759,294.592942848999,1230.9065160921814,1550.1183537922657,1183.461606136556,3.1947356243209635,3.220646745993305,3.188064908036921,1.4482276367510043,1.4638580289995349,1.445108638566879,6.69839646143745,6.7318253113250925,6.688025755916542,[0.32501087 0.22217804 0.1220878 ],0.3250108706038991,0.2221780352508934,0.122087799670516,15.2136053039808,16.39179851858015,14.897587509871013,15.9591028290203,17.007724999878647,15.608876399021282,14.652349523498726,15.967262995801208,14.36926703708344,0.0051817037559984,0.0217558616353905,0.0067220424722056,0.005131054537487,0.0191448265472261,0.0064555381803892,0.0059084028371994,0.0280995684118871,0.0078940061617049,0.745497525039502,0.6159264812984979,0.7112888891502696,0.5612557804820728,0.4245355227789407,0.5283204727875717,0.745497525039502,0.6159264812984979,0.7112888891502696,0.0072923092694697,0.0289800258630256,0.0093198620266933,0.5612557804820728,0.4245355227789407,0.5283204727875717,0.0078587071393172,0.0355373502168152,0.0103682779804156,,,,,,,,,,,,,,,,,
